severity_kw,duration_min,affects,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings
0.5,30,machine,42,False,,False,,,,0
0.5,30,machine,43,False,,False,,,,0
0.5,30,machine,44,False,,False,,,,0
0.5,30,machine,45,False,,False,,,,0
0.5,30,machine,46,False,,False,,,,0
0.5,30,machine,47,False,,False,,,,0
0.5,30,machine,48,False,,False,,,,0
0.5,30,machine,49,False,,False,,,,0
0.5,30,machine,50,False,,False,,,,0
0.5,30,machine,51,False,,False,,,,0
0.5,120,machine,42,False,,False,,,,0
0.5,120,machine,43,False,,False,,,,0
0.5,120,machine,44,False,,False,,,,0
0.5,120,machine,45,False,,False,,,,0
0.5,120,machine,46,False,,False,,,,0
0.5,120,machine,47,False,,False,,,,0
0.5,120,machine,48,False,,False,,,,0
0.5,120,machine,49,False,,False,,,,0
0.5,120,machine,50,False,,False,,,,0
0.5,120,machine,51,False,,False,,,,0
0.5,240,machine,42,False,,False,,,,0
0.5,240,machine,43,False,,False,,,,0
0.5,240,machine,44,False,,False,,,,0
0.5,240,machine,45,False,,False,,,,0
0.5,240,machine,46,False,,False,,,,0
0.5,240,machine,47,False,,False,,,,0
0.5,240,machine,48,False,,False,,,,0
0.5,240,machine,49,False,,False,,,,0
0.5,240,machine,50,False,,False,,,,0
0.5,240,machine,51,False,,False,,,,0
0.75,30,machine,42,False,,False,,,,0
0.75,30,machine,43,False,,False,,,,0
0.75,30,machine,44,False,,False,,,,0
0.75,30,machine,45,False,,False,,,,0
0.75,30,machine,46,False,,False,,,,0
0.75,30,machine,47,False,,False,,,,0
0.75,30,machine,48,False,,False,,,,0
0.75,30,machine,49,False,,False,,,,0
0.75,30,machine,50,True,10.0,False,,spindle,False,0
0.75,30,machine,51,False,,False,,,,0
0.75,120,machine,42,False,,False,,,,0
0.75,120,machine,43,False,,False,,,,0
0.75,120,machine,44,False,,False,,,,0
0.75,120,machine,45,False,,False,,,,0
0.75,120,machine,46,False,,False,,,,0
0.75,120,machine,47,False,,False,,,,0
0.75,120,machine,48,False,,False,,,,0
0.75,120,machine,49,False,,False,,,,0
0.75,120,machine,50,True,10.0,False,,spindle,False,0
0.75,120,machine,51,False,,False,,,,0
0.75,240,machine,42,False,,False,,,,0
0.75,240,machine,43,False,,False,,,,0
0.75,240,machine,44,False,,False,,,,0
0.75,240,machine,45,False,,False,,,,0
0.75,240,machine,46,False,,False,,,,0
0.75,240,machine,47,False,,False,,,,0
0.75,240,machine,48,False,,False,,,,0
0.75,240,machine,49,False,,False,,,,0
0.75,240,machine,50,True,10.0,False,,spindle,False,0
0.75,240,machine,51,False,,False,,,,0
1.0,30,machine,42,False,,False,,,,0
1.0,30,machine,43,False,,False,,,,0
1.0,30,machine,44,False,,False,,,,0
1.0,30,machine,45,False,,False,,,,0
1.0,30,machine,46,False,,False,,,,0
1.0,30,machine,47,True,21.0,False,,machine,True,0
1.0,30,machine,48,False,,False,,,,0
1.0,30,machine,49,False,,False,,,,0
1.0,30,machine,50,True,10.0,True,16.0,machine,True,0
1.0,30,machine,51,False,,False,,,,0
1.0,120,machine,42,False,,False,,,,0
1.0,120,machine,43,False,,False,,,,0
1.0,120,machine,44,False,,False,,,,0
1.0,120,machine,45,False,,False,,,,0
1.0,120,machine,46,False,,False,,,,0
1.0,120,machine,47,True,21.0,False,,machine,True,0
1.0,120,machine,48,False,,False,,,,0
1.0,120,machine,49,False,,False,,,,0
1.0,120,machine,50,True,10.0,True,16.0,machine,True,0
1.0,120,machine,51,False,,False,,,,0
1.0,240,machine,42,False,,False,,,,0
1.0,240,machine,43,False,,False,,,,0
1.0,240,machine,44,False,,False,,,,0
1.0,240,machine,45,False,,False,,,,0
1.0,240,machine,46,False,,False,,,,0
1.0,240,machine,47,True,21.0,False,,machine,True,0
1.0,240,machine,48,False,,False,,,,0
1.0,240,machine,49,False,,False,,,,0
1.0,240,machine,50,True,10.0,True,16.0,machine,True,0
1.0,240,machine,51,False,,False,,,,0
1.25,30,machine,42,True,13.0,True,19.0,machine,True,0
1.25,30,machine,43,False,,False,,,,0
1.25,30,machine,44,False,,False,,,,0
1.25,30,machine,45,False,,False,,,,0
1.25,30,machine,46,True,11.0,False,,machine,True,0
1.25,30,machine,47,True,21.0,True,27.0,machine,True,0
1.25,30,machine,48,False,,False,,,,0
1.25,30,machine,49,False,,False,,,,0
1.25,30,machine,50,True,10.0,True,16.0,machine,True,0
1.25,30,machine,51,False,,False,,,,0
1.25,120,machine,42,True,13.0,True,19.0,machine,True,0
1.25,120,machine,43,False,,False,,,,0
1.25,120,machine,44,False,,False,,,,0
1.25,120,machine,45,False,,False,,,,0
1.25,120,machine,46,True,11.0,False,,machine,True,0
1.25,120,machine,47,True,21.0,True,27.0,machine,True,0
1.25,120,machine,48,False,,False,,,,0
1.25,120,machine,49,False,,False,,,,0
1.25,120,machine,50,True,10.0,True,16.0,machine,True,0
1.25,120,machine,51,False,,False,,,,0
1.25,240,machine,42,True,13.0,True,19.0,machine,True,0
1.25,240,machine,43,False,,False,,,,0
1.25,240,machine,44,False,,False,,,,0
1.25,240,machine,45,False,,False,,,,0
1.25,240,machine,46,True,11.0,False,,machine,True,0
1.25,240,machine,47,True,21.0,True,27.0,machine,True,0
1.25,240,machine,48,False,,False,,,,0
1.25,240,machine,49,False,,False,,,,0
1.25,240,machine,50,True,10.0,True,16.0,machine,True,0
1.25,240,machine,51,False,,False,,,,0
1.5,30,machine,42,True,13.0,True,19.0,machine,True,0
1.5,30,machine,43,True,17.0,False,,machine,True,0
1.5,30,machine,44,False,,False,,,,0
1.5,30,machine,45,True,21.0,False,,machine,True,0
1.5,30,machine,46,True,9.0,True,15.0,machine,True,0
1.5,30,machine,47,True,21.0,True,27.0,machine,True,0
1.5,30,machine,48,True,14.0,False,,machine,True,0
1.5,30,machine,49,True,17.0,True,23.0,machine,True,0
1.5,30,machine,50,True,10.0,True,16.0,machine,True,0
1.5,30,machine,51,False,,False,,,,0
1.5,120,machine,42,True,13.0,True,19.0,machine,True,0
1.5,120,machine,43,True,17.0,False,,machine,True,0
1.5,120,machine,44,False,,False,,,,0
1.5,120,machine,45,True,21.0,False,,machine,True,0
1.5,120,machine,46,True,9.0,True,15.0,machine,True,0
1.5,120,machine,47,True,21.0,True,27.0,machine,True,0
1.5,120,machine,48,True,14.0,False,,machine,True,0
1.5,120,machine,49,True,17.0,True,23.0,machine,True,0
1.5,120,machine,50,True,10.0,True,16.0,machine,True,0
1.5,120,machine,51,False,,False,,,,0
1.5,240,machine,42,True,13.0,True,19.0,machine,True,0
1.5,240,machine,43,True,17.0,False,,machine,True,0
1.5,240,machine,44,False,,False,,,,0
1.5,240,machine,45,True,21.0,False,,machine,True,0
1.5,240,machine,46,True,9.0,True,15.0,machine,True,0
1.5,240,machine,47,True,21.0,True,27.0,machine,True,0
1.5,240,machine,48,True,14.0,False,,machine,True,0
1.5,240,machine,49,True,17.0,True,23.0,machine,True,0
1.5,240,machine,50,True,10.0,True,16.0,machine,True,0
1.5,240,machine,51,False,,False,,,,0
1.75,30,machine,42,True,13.0,True,19.0,machine,True,0
1.75,30,machine,43,True,15.0,True,21.0,machine,True,0
1.75,30,machine,44,True,15.0,True,21.0,machine,True,0
1.75,30,machine,45,True,21.0,True,27.0,machine,True,0
1.75,30,machine,46,True,8.0,True,14.0,machine,True,0
1.75,30,machine,47,True,21.0,True,27.0,machine,True,0
1.75,30,machine,48,True,10.0,False,,machine,True,0
1.75,30,machine,49,True,15.0,True,21.0,machine,True,0
1.75,30,machine,50,True,10.0,True,16.0,machine,True,0
1.75,30,machine,51,True,15.0,True,21.0,machine,True,0
1.75,120,machine,42,True,13.0,True,19.0,machine,True,0
1.75,120,machine,43,True,15.0,True,21.0,machine,True,0
1.75,120,machine,44,True,15.0,True,21.0,machine,True,0
1.75,120,machine,45,True,21.0,True,27.0,machine,True,0
1.75,120,machine,46,True,8.0,True,14.0,machine,True,0
1.75,120,machine,47,True,21.0,True,27.0,machine,True,0
1.75,120,machine,48,True,10.0,False,,machine,True,0
1.75,120,machine,49,True,15.0,True,21.0,machine,True,0
1.75,120,machine,50,True,10.0,True,16.0,machine,True,0
1.75,120,machine,51,True,15.0,True,21.0,machine,True,0
1.75,240,machine,42,True,13.0,True,19.0,machine,True,0
1.75,240,machine,43,True,15.0,True,21.0,machine,True,0
1.75,240,machine,44,True,15.0,True,21.0,machine,True,0
1.75,240,machine,45,True,21.0,True,27.0,machine,True,0
1.75,240,machine,46,True,8.0,True,14.0,machine,True,0
1.75,240,machine,47,True,21.0,True,27.0,machine,True,0
1.75,240,machine,48,True,10.0,False,,machine,True,0
1.75,240,machine,49,True,15.0,True,21.0,machine,True,0
1.75,240,machine,50,True,10.0,True,16.0,machine,True,0
1.75,240,machine,51,True,15.0,True,21.0,machine,True,0
2.0,30,machine,42,True,13.0,True,19.0,machine,True,0
2.0,30,machine,43,True,14.0,True,20.0,machine,True,0
2.0,30,machine,44,True,14.0,True,20.0,machine,True,0
2.0,30,machine,45,True,21.0,True,27.0,machine,True,0
2.0,30,machine,46,True,8.0,True,14.0,machine,True,0
2.0,30,machine,47,True,21.0,True,27.0,machine,True,0
2.0,30,machine,48,True,7.0,True,13.0,machine,True,0
2.0,30,machine,49,True,13.0,True,19.0,machine,True,0
2.0,30,machine,50,True,10.0,True,16.0,machine,True,0
2.0,30,machine,51,True,13.0,True,19.0,machine,True,0
2.0,120,machine,42,True,13.0,True,19.0,machine,True,0
2.0,120,machine,43,True,14.0,True,20.0,machine,True,0
2.0,120,machine,44,True,14.0,True,20.0,machine,True,0
2.0,120,machine,45,True,21.0,True,27.0,machine,True,0
2.0,120,machine,46,True,8.0,True,14.0,machine,True,0
2.0,120,machine,47,True,21.0,True,27.0,machine,True,0
2.0,120,machine,48,True,7.0,True,13.0,machine,True,0
2.0,120,machine,49,True,13.0,True,19.0,machine,True,0
2.0,120,machine,50,True,10.0,True,16.0,machine,True,0
2.0,120,machine,51,True,13.0,True,19.0,machine,True,0
2.0,240,machine,42,True,13.0,True,19.0,machine,True,0
2.0,240,machine,43,True,14.0,True,20.0,machine,True,0
2.0,240,machine,44,True,14.0,True,20.0,machine,True,0
2.0,240,machine,45,True,21.0,True,27.0,machine,True,0
2.0,240,machine,46,True,8.0,True,14.0,machine,True,0
2.0,240,machine,47,True,21.0,True,27.0,machine,True,0
2.0,240,machine,48,True,7.0,True,13.0,machine,True,0
2.0,240,machine,49,True,13.0,True,19.0,machine,True,0
2.0,240,machine,50,True,10.0,True,16.0,machine,True,0
2.0,240,machine,51,True,13.0,True,19.0,machine,True,0
2.5,30,machine,42,True,13.0,True,19.0,machine,True,0
2.5,30,machine,43,True,11.0,True,17.0,machine,True,0
2.5,30,machine,44,True,11.0,True,17.0,machine,True,0
2.5,30,machine,45,True,21.0,True,27.0,machine,True,0
2.5,30,machine,46,True,7.0,True,13.0,machine,True,0
2.5,30,machine,47,True,21.0,True,27.0,machine,True,0
2.5,30,machine,48,True,5.0,True,11.0,machine,True,0
2.5,30,machine,49,True,11.0,True,17.0,machine,True,0
2.5,30,machine,50,True,10.0,True,16.0,machine,True,0
2.5,30,machine,51,True,10.0,True,16.0,machine,True,0
2.5,120,machine,42,True,13.0,True,19.0,machine,True,0
2.5,120,machine,43,True,11.0,True,17.0,machine,True,0
2.5,120,machine,44,True,11.0,True,17.0,machine,True,0
2.5,120,machine,45,True,21.0,True,27.0,machine,True,0
2.5,120,machine,46,True,7.0,True,13.0,machine,True,0
2.5,120,machine,47,True,21.0,True,27.0,machine,True,0
2.5,120,machine,48,True,5.0,True,11.0,machine,True,0
2.5,120,machine,49,True,11.0,True,17.0,machine,True,0
2.5,120,machine,50,True,10.0,True,16.0,machine,True,0
2.5,120,machine,51,True,10.0,True,16.0,machine,True,0
2.5,240,machine,42,True,13.0,True,19.0,machine,True,0
2.5,240,machine,43,True,11.0,True,17.0,machine,True,0
2.5,240,machine,44,True,11.0,True,17.0,machine,True,0
2.5,240,machine,45,True,21.0,True,27.0,machine,True,0
2.5,240,machine,46,True,7.0,True,13.0,machine,True,0
2.5,240,machine,47,True,21.0,True,27.0,machine,True,0
2.5,240,machine,48,True,5.0,True,11.0,machine,True,0
2.5,240,machine,49,True,11.0,True,17.0,machine,True,0
2.5,240,machine,50,True,10.0,True,16.0,machine,True,0
2.5,240,machine,51,True,10.0,True,16.0,machine,True,0
3.0,30,machine,42,True,13.0,True,19.0,machine,True,0
3.0,30,machine,43,True,10.0,True,16.0,machine,True,0
3.0,30,machine,44,True,10.0,True,16.0,machine,True,0
3.0,30,machine,45,True,21.0,True,27.0,machine,True,0
3.0,30,machine,46,True,7.0,True,13.0,machine,True,0
3.0,30,machine,47,True,21.0,True,27.0,machine,True,0
3.0,30,machine,48,True,5.0,True,11.0,machine,True,0
3.0,30,machine,49,True,9.0,True,15.0,machine,True,0
3.0,30,machine,50,True,10.0,True,16.0,machine,True,0
3.0,30,machine,51,True,8.0,True,14.0,machine,True,0
3.0,120,machine,42,True,13.0,True,19.0,machine,True,0
3.0,120,machine,43,True,10.0,True,16.0,machine,True,0
3.0,120,machine,44,True,10.0,True,16.0,machine,True,0
3.0,120,machine,45,True,21.0,True,27.0,machine,True,0
3.0,120,machine,46,True,7.0,True,13.0,machine,True,0
3.0,120,machine,47,True,21.0,True,27.0,machine,True,0
3.0,120,machine,48,True,5.0,True,11.0,machine,True,0
3.0,120,machine,49,True,9.0,True,15.0,machine,True,0
3.0,120,machine,50,True,10.0,True,16.0,machine,True,0
3.0,120,machine,51,True,8.0,True,14.0,machine,True,0
3.0,240,machine,42,True,13.0,True,19.0,machine,True,0
3.0,240,machine,43,True,10.0,True,16.0,machine,True,0
3.0,240,machine,44,True,10.0,True,16.0,machine,True,0
3.0,240,machine,45,True,21.0,True,27.0,machine,True,0
3.0,240,machine,46,True,7.0,True,13.0,machine,True,0
3.0,240,machine,47,True,21.0,True,27.0,machine,True,0
3.0,240,machine,48,True,5.0,True,11.0,machine,True,0
3.0,240,machine,49,True,9.0,True,15.0,machine,True,0
3.0,240,machine,50,True,10.0,True,16.0,machine,True,0
3.0,240,machine,51,True,8.0,True,14.0,machine,True,0
4.0,30,machine,42,True,13.0,True,19.0,machine,True,0
4.0,30,machine,43,True,8.0,True,14.0,machine,True,0
4.0,30,machine,44,True,8.0,True,14.0,machine,True,0
4.0,30,machine,45,True,21.0,True,27.0,machine,True,0
4.0,30,machine,46,True,6.0,True,12.0,machine,True,0
4.0,30,machine,47,True,21.0,True,27.0,machine,True,0
4.0,30,machine,48,True,4.0,True,10.0,machine,True,0
4.0,30,machine,49,True,7.0,True,13.0,machine,True,0
4.0,30,machine,50,True,10.0,True,16.0,machine,True,0
4.0,30,machine,51,True,6.0,True,12.0,machine,True,0
4.0,120,machine,42,True,13.0,True,19.0,machine,True,0
4.0,120,machine,43,True,8.0,True,14.0,machine,True,0
4.0,120,machine,44,True,8.0,True,14.0,machine,True,0
4.0,120,machine,45,True,21.0,True,27.0,machine,True,0
4.0,120,machine,46,True,6.0,True,12.0,machine,True,0
4.0,120,machine,47,True,21.0,True,27.0,machine,True,0
4.0,120,machine,48,True,4.0,True,10.0,machine,True,0
4.0,120,machine,49,True,7.0,True,13.0,machine,True,0
4.0,120,machine,50,True,10.0,True,16.0,machine,True,0
4.0,120,machine,51,True,6.0,True,12.0,machine,True,0
4.0,240,machine,42,True,13.0,True,19.0,machine,True,0
4.0,240,machine,43,True,8.0,True,14.0,machine,True,0
4.0,240,machine,44,True,8.0,True,14.0,machine,True,0
4.0,240,machine,45,True,21.0,True,27.0,machine,True,0
4.0,240,machine,46,True,6.0,True,12.0,machine,True,0
4.0,240,machine,47,True,21.0,True,27.0,machine,True,0
4.0,240,machine,48,True,4.0,True,10.0,machine,True,0
4.0,240,machine,49,True,7.0,True,13.0,machine,True,0
4.0,240,machine,50,True,10.0,True,16.0,machine,True,0
4.0,240,machine,51,True,6.0,True,12.0,machine,True,0
